pmarcelino/comprehensive-data-exploration-with-python, Comprehensive data exploration with Python,Pedro Marcelino, PhD, 2019-08-23 08:19:02, 11425,1
startupsci/titanic-data-science-solutions, Titanic Data Science Solutions,Manav Sehgal, 2019-02-11 01:21:23,8293,1
alexisbcook/titanic-tutorial,Titanic Tutorial,Alexis Cook,2021-09-13 19:51:40,6645,1
serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard, Serigne,2017-12-16 11:57:12,6331,1
yassineghouzam/introduction-to-cnn-keras-0-997-top-6,Introduction to CNN Keras - 0.997 (top 6%),Yassine Ghouzam,2017-08-18 01:42:23,6149,1
colinmorris/hello-python,Hello, Python, ColinMorris,2021-11-11 14:28:00,5959,1
kanncaa1/data-sciencetutorial-for-beginners, Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,5721,1
arthurtok/introduction-to-ensembling-stacking-in-python, Introduction to Ensembling/Stacking in Python, Anisotropic,2018-06-16 14:41:15,5485,1
dansbecker/how-models-work,How Models Work, DanB, 2022-01-05 13:51:41,5316,1
ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy, LD Freeman, 2017-12-31 18:27:17,4877,1
janiobachmann/credit-fraud-dealing-with-imbalanced-datasets, Credit Fraud,|| Dealing with Imbalanced Datasets, Janio Martinez Bachmann,2019-07-03 23:04:48,3735,1
willkoehrsen/start-here-a-gentle-introduction, Start Here: A Gentle Introduction, Will Koehrsen,2018-08-25 02:00:07,3199,1
colinmorris/functions-and-getting-help,Functions and Getting Help,ColinMorris,2021-11-11 14:28:17,2968,1
dansbecker/your-first-machine-learning-model,Your First Machine Learning Model, DanB, 2021-11-09 00:01:04,2910,1
dansbecker/model-validation, Model Validation,DanB, 2021-11-09 00:00:51,2659,1
yassineghouzam/titanic-top-4-with-ensemble-modeling, Titanic Top 4% with ensemble modeling, Yassine Ghouzam,2017-08-09 14:34:44,2562,1
dansbecker/underfitting-and-overfitting, Underfitting and Overfitting,DanB, 2021-11-09 00:01:33,2501,1
colinmorris/booleans-and-conditionals, Booleans and Conditionals, ColinMorris,2021-11-11 14:28:25,2492,1
yogeshtak/exercise-your-first-machine-learning-model,Exercise: Your First Machine Learning Model, Yogesh Tak, 2020-01-03 14:51:27,2437,1
alexisbcook/getting-started-with-kaggle, Getting Started with Kaggle, Alexis Cook,2021-08-05 13:03:30,2329,1
gzuidhof/full-preprocessing-tutorial,Full Preprocessing Tutorial, Guido Zuidhof,2017-02-24 06:16:38,2304,1
ash316/eda-to-prediction-dietanic, EDA To Prediction(DieTanic), Ashwini Swain,2018-03-08 17:55:32,2268,1
kanncaa1/machine-learning-tutorial-for-beginners,Machine Learning Tutorial for Beginners, DATAI,2018-07-24 14:43:45,2127,1
sudalairajkumar/winning-solutions-of-kaggle-competitions,Winning solutions of kaggle competitions,SRK,2020-06-15 14:38:04,2110,1
residentmario/creating-reading-and-writing,Creating, Reading and Writing, Aleksey Bilogur,2022-02-08 16:43:57,2059,1
kanncaa1/deep-learning-tutorial-for-beginners, Deep Learning Tutorial for Beginners,DATAI,2019-05-25 14:42:24,2059,1
thebrownviking20/everything-you-can-do-with-a-time-series, Everything you can do with a time series,Siddharth Yadav,2018-08-02 14:42:50,1946,1
therealcyberlord/coronavirus-covid-19-visualization-prediction,Coronavirus (COVID-19) Visualization & Prediction, Xingyu Bian,2022-02-08 16:34:36,1928,1
abhishek/approaching-almost-any-nlp-problem-on-kaggle, Approaching (Almost) Any NLP Problem on Kaggle,Abhishek Thakur,2020-07-22 06:02:35,1897,1
shivamb/data-science-glossary-on-kaggle, Data Science Glossary on Kaggle, Shivam Bansal,2018-12-10 09:47:14,1896,1
dansbecker/random-forests, Random Forests,DanB, 2021-11-09 00:03:02,1710,1
imdevskp/covid-19-analysis-visualization-comparisons,COVID-19 - Analysis, Visualization & Comparisons,Devakumar K. P.,2020-06-19 15:51:01,1708,1
colinmorris/lists, Lists, ColinMorris,2021-11-11 14:28:25,1649,1
jagangupta/time-series-basics-exploring-traditional-ts,Time series Basics : Exploring traditional TS, Jagan,2018-03-02 18:21:54,1624,1
dansbecker/submitting-from-a-kernel, Submitting From A Kernel,DanB, 2018-01-22 19:25:43,1616,1
apapiu/regularized-linear-models,Regularized Linear Models, Alexandru Papiu,2017-04-21 05:50:08,1613,1
dansbecker/basic-data-exploration, Basic Data Exploration,DanB, 2021-11-09 00:01:19,1551,1
kanncaa1/feature-selection-and-data-visualization, Feature Selection and Data Visualization,DATAI,2021-07-10 16:05:36,1524,1
residentmario/indexing-selecting-assigning,Indexing, Selecting & Assigning, Aleksey Bilogur,2022-02-08 16:40:11,1492,1
gunesevitan/titanic-advanced-feature-engineering-tutorial, Titanic - Advanced Feature Engineering Tutorial, Gunes Evitan, 2020-01-20 10:16:43,1463,1
colinmorris/loops-and-list-comprehensions, Loops and List Comprehensions, ColinMorris,2021-11-11 14:28:13,1432,1
anokas/data-analysis-xgboost-starter-0-35460-lb, Data Analysis & XGBoost Starter (0.35460 LB),anokas, 2017-04-12 14:22:20,1384,1
omarelgabry/a-journey-through-titanic, A Journey through Titanic, OMAR ELGABRY, 2016-11-15 18:19:03,1379,1
colinmorris/working-with-external-libraries, Working with External Libraries, ColinMorris,2021-11-11 14:28:12,1350,1
colinmorris/strings-and-dictionaries,Strings and Dictionaries,ColinMorris,2021-11-11 14:28:03,1345,1
masumrumi/a-statistical-analysis-ml-workflow-of-titanic, A Statistical Analysis & ML workflow of Titanic, Masum Rumi, 2021-11-15 20:01:34,1339,1
dansbecker/explore-your-data,Explore Your Data, DanB, 2019-01-23 01:07:33,1328,1
kanncaa1/plotly-tutorial-for-beginners,Plotly Tutorial for Beginners, DATAI,2019-10-01 20:59:55,1254,1
tanulsingh077/twitter-sentiment-extaction-analysis-eda-and-model,Twitter sentiment Extaction-Analysis,EDA and Model,Mr_KnowNothing, 2020-04-14 10:09:10,1253,1
deffro/eda-is-fun, EDA is Fun!, Dimitrios Effrosynidis, 2018-10-09 11:18:30,1246,1
benhamner/python-data-visualizations,Python Data Visualizations,Ben Hamner, 2017-08-29 15:54:22,1245,1
